"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Construction of Intelligent Mining Visualization Centralized Control System Based on Neural Network and Genetic Algorithm","Y. Li","China University of Mining and Technology, Xuzhou, Jiangsu, China","2023 International Conference on Power, Electrical Engineering, Electronics and Control (PEEEC)","1 Feb 2024","2023","","","976","980","Accelerating the iterative upgrade of mine intelligent equipment provides strong technical support for the construction of smart mines, and at the same time, safe production forces mining enterprises to carry out the construction of smart mines. Due to the limitation of underground geological conditions and the nonlinear characteristics of surrounding environment, the parameters to be monitored on each working face are quite complicated and isolated from each other. The traditional data processing method has great limitations, and the quantitative model will make it difficult to determine parameters, reduce system performance and coordinate. Focusing on the establishment of multi-source data model of mining business and the correlation of model data, this paper constructs an intelligent monitoring model based on genetic algorithm (GA) optimized neural network, and studies the visual application effect of centralized control platform on mining production data with the help of digital twin visual integration technology. The simulation results show that the algorithm in this paper has remarkable prediction ability, good real-time performance, powerful learning function and high accuracy. The proposed intelligent mining visualization model can monitor various mine parameters, realize real-time graphic visualization, scene and real-time interaction of mine data, and improve the management level and work efficiency of mining enterprises.","","979-8-3503-2912-4","10.1109/PEEEC60561.2023.00191","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10414463","Intelligent monitoring;Centralized control system;Neural network;Genetic algorithm","Visualization;Data visualization;Production;Data models;Data mining;Monitoring;Centralized control","","","","12","IEEE","1 Feb 2024","25-27 Sept. 2023","25-27 Sept. 2023","IEEE","IEEE Conferences"
"Conversational Storytelling Agent with Satellite Data: Adapting to User Profiles","F. EL OUTA; A. Sharma","French Geological Survey (BRGM), Orléans, France; University of Orléans, Loire Valley Institute for Advanced Studies, Orléans, France",2025 International Conference on INnovations in Intelligent SysTems and Applications (INISTA),"28 Nov 2025","2025","","","1","6","Although satellite programs like Copernicus now provide abundant Earth-observation (EO) data, non-specialists still struggle to access, process, and interpret it. This paper introduces a swarm-agent framework that closes this cognitive and technical gap. Plain-language questions are converted into structured workflows executed by specialized, modular agents that follow the four classic data-storytelling stages: clarifying the user's question, exploring the data, structuring the narrative, and presenting the results. The system then generates a concise story, supported by visuals and straightforward explanations. A proof of concept (POC) using Sentinel-5P data demonstrates how this approach can track pollutant levels in France's Centre-Val de Loire region. The POC shows how a data-storytelling-inspired swarm-agent architecture can make EO insights accessible, intelligible, and transparent to a broad audience in under 10seconds.","2768-7295","979-8-3315-7024-8","10.1109/INISTA68122.2025.11249525","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11249525","Swarm agents;Satellite data;Conversational systems;Earth Observation;Data storytelling","Earth;Visualization;Technological innovation;Satellites;Intelligent systems","","","","17","IEEE","28 Nov 2025","29-31 Oct. 2025","29-31 Oct. 2025","IEEE","IEEE Conferences"
"Binocular versus trinocular stereo","U. R. Dhond; J. K. Aggarwal","Computer & Vision Research Center, ENS 519, Department of Electrical and Computer Engineering, University of Texas, Austin, Austin, TX, USA; Computer & Vision Research Center, ENS 519, Department of Electrical and Computer Engineering, University of Texas, Austin, Austin, TX, USA","Proceedings., IEEE International Conference on Robotics and Automation","6 Aug 2002","1990","","","2045","2050 vol.3","Consideration is given to the twin issues of the gain in accuracy of stereo correspondence and the accompanying increase in computational cost due to the use of a third camera for stereo analysis. The relative performance of binocular and trinocular stereo algorithms on stereo images with known ground truth is evaluated. A technology for comparing the matching performance of stereo algorithms by using real digital elevation maps is developed. Trinocular local matching reduces the percentage of mismatches having large disparity errors by more than one half when compared to binocular matching, while trinocular stereopsis increases the computational cost of local matching over binocular stereopsis by only about one fourth.<>","","0-8186-9061-5","10.1109/ROBOT.1990.126306","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=126306","","Stereo vision;Cameras;Computer vision;Computational efficiency;Contracts;Costs;Image analysis;Image recognition;Data mining;Robot vision systems","","6","1","16","IEEE","6 Aug 2002","13-18 May 1990","13-18 May 1990","IEEE","IEEE Conferences"
"Supervised Operational Change Point Detection using Ensemble Long-Short Term Memory in a Multicomponent Industrial System","A. Gupta; V. S. Masampally; V. Jadhav; A. Deodhar; V. Runkana","Tata Research Development & Design Centre, TCS Research, Tata Consultancy Services Limited, Pune, Maharashtra, India; Tata Research Development & Design Centre, TCS Research, Tata Consultancy Services Limited, Pune, Maharashtra, India; Tata Research Development & Design Centre, TCS Research, Tata Consultancy Services Limited, Pune, Maharashtra, India; Tata Research Development & Design Centre, TCS Research, Tata Consultancy Services Limited, Pune, Maharashtra, India; Tata Research Development & Design Centre, TCS Research, Tata Consultancy Services Limited, Pune, Maharashtra, India",2021 IEEE 19th World Symposium on Applied Machine Intelligence and Informatics (SAMI),"22 Mar 2021","2021","","","000135","000141","Changes in operating conditions, environment, and deterioration of structural health of components over time leads to unplanned outages in industrial equipment. A multicomponent industrial system may fail when one or more of its components deteriorate beyond a certain limit. The deterioration is often a gradual and continuous process, culminating in sudden failure of an equipment. However, the components in a system may show some early signs of deterioration that might not be explicitly apparent even to domain experts. Therefore, advanced algorithms are required for early detection of these signatures of failure to enable corrective actions in time. A set of algorithms is presented here to detect signatures of failure from the continuous sensor data in a multicomponent system. Each system consists of four identical components, each with a different timing of failure. A set of Long Short-Term Memory (LSTM) based algorithms are employed to identify the onset of abnormal behavior. An ensemble framework, which minimizes the frequency of false and missed alarms is proposed and its performance is compared with other stand-alone algorithms. An ensemble approach on top of a set of LSTM-based models performed better than the individual algorithms.","","978-1-7281-8053-3","10.1109/SAMI50585.2021.9378683","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9378683","Industrial Equipment;Operational change point detection;Deep Learning;LSTM;Ensemble","Digital twin;Neural networks;Predictive models;Prediction algorithms;Real-time systems;Timing;Predictive maintenance","","5","","21","IEEE","22 Mar 2021","21-23 Jan. 2021","21-23 Jan. 2021","IEEE","IEEE Conferences"
"Digital Twin Empowered Task Offloading for Vehicular Edge Computing","C. Tang; H. Wu; C. Zhu; S. Xiao","School of Computer Science and Technology, China University of Mining and Technology, Xuzhou, China; Center for Applied Mathematics, Tianjin University, Tianjin, China; College of Big Data and Internet, Shenzhen Technology University, Shenzhen, China; School of Computer Science and Technology, China University of Mining and Technology, Xuzhou, China",2023 IEEE 29th International Conference on Parallel and Distributed Systems (ICPADS),"26 Mar 2024","2023","","","2403","2409","Vehicular edge computing (VEC) as a promising computing paradigm has accelerated the reformation of existing dominating computing infrastructures, enabling resource provisioning in close proximity to resource requestors. However, several challenges still exist, including efficient resource scheduling and management, dynamic wireless channel state, and limited bandwidth usage. To address these issues, we introduce the digital twin (DT) technology into VEC, enabling DTs of physical entities in VEC to achieve real-time offloading decision-making in the DT simulation cycle. In particular, we propose a DT-empowered VEC (DT-VEC) architecture, aiming to achieve efficient task offloading while considering extra latency incurred by task migration. We further put forward an efficient algorithm to minimize the response latency for all the tasks in the optimization period. The simulation results have proven that our approach outperforms the other two greedy approaches.","2690-5965","979-8-3503-3071-7","10.1109/ICPADS60453.2023.00321","National Natural Science Foundation of China; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10476041","Vehicular edge computing;task offloading;digital twin;response latency;resource scheduling","Wireless communication;Processor scheduling;Simulation;Computer architecture;Dynamic scheduling;Digital twins;Task analysis","","","","16","IEEE","26 Mar 2024","17-21 Dec. 2023","17-21 Dec. 2023","IEEE","IEEE Conferences"
"NVIDIA Aerial GPU Hosted AI-on-5G","A. Kelkar; C. Dick","Nvidia, Santa Clara, USA; Nvidia, Santa Clara, USA",2021 IEEE 4th 5G World Forum (5GWF),"19 Nov 2021","2021","","","64","69","In this paper we present the NVIDIA hyper-converged platform supporting 5G connectivity and Mobile Edge Computing (MEC). 5G connectivity is realized with our Aerial [1] GPU-based cloud native 5G gNB. We introduce AI-on-5G on a converged accelerator to showcase our innovation in being able to host Aerial vRAN baseband processing, AI/ML training and inference, data analytics and other workloads. In other words, a data center at the edge that is provisioned with 5G connectivity as a service. We describe 3 uses-cases that highlight how existing NVIDIA AI/ML development frameworks, together with Aerial, can be leveraged to bring Industry 4.0 to reality.As an open platform Aerial is positioned to be industry transformational by providing researchers with a platform for next generation wireless and AI research.Aerial seeds the research ecosystem with a first-class out-of-the-box (OOB) experience with a standards compliant 5G NR PHY. Researchers can run the supplied 3GPP compliant test vectors, and perform over-the-air experiments, using standard servers equipped with a GPU-based PCIe card. The PHY code base can be tailored to support research that combines AI/ML with 5G wireless.","","978-1-6654-4308-1","10.1109/5GWF52925.2021.00019","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9605055","5G vRAN;machine learning;artificial intelligence;GPU;O-RAN;mobile edge computing (MEC);multi-service architectures;flexible and programmable RAN;robotics;industry 4.0","Wireless communication;Training;Base stations;Technological innovation;5G mobile communication;Computational modeling;Graphics processing units","","24","","13","IEEE","19 Nov 2021","13-15 Oct. 2021","13-15 Oct. 2021","IEEE","IEEE Conferences"
"Impact of SAR data quantization on TanDEM-X performance","M. Martone; B. Bräutigam; P. Rizzoli; G. Krieger","German Aerospace Center (DLR), Microwaves and Radar Institute, Oberpfaffenhofen, Germany; German Aerospace Center (DLR), Microwaves and Radar Institute, Oberpfaffenhofen, Germany; German Aerospace Center (DLR), Microwaves and Radar Institute, Oberpfaffenhofen, Germany; German Aerospace Center (DLR), Microwaves and Radar Institute, Oberpfaffenhofen, Germany",2013 IEEE International Geoscience and Remote Sensing Symposium - IGARSS,"27 Jan 2014","2013","","","4487","4490","Quantization of SAR raw data represents an aspect of primary importance, since the number of bits used for radar signal digitization on the one hand controls the on-board memory consumption and the data volume to be transmitted on the ground, and on the other hand affects directly the performance of the SAR images. The TanDEM-X mission started in 2010 and comprises the two twin satellites TerraSAR-X and TanDEM-X. Its primary objective is the generation of a worldwide and consistent digital elevation model (DEM) with an unprecedented accuracy. The two satellites fly in close orbit configuration and act as a large single-pass radar interferometer with the adaptability for flexible baseline selection [1]. In this paper, the impact of quantization on bistatic TanDEM-X data is evaluated. First, the effect on the Noise Equivalent Sigma Zero (NESZ) is investigated. Then, the dependence of interferometric coherence on raw data quantization is assessed, and the impact on relative height accuracy is estimated from TanDEM-X repeated acquisitions. A dedicated analysis aimed at evaluating interferometric performance in presence of inhomogeneities in the backscatter response (the so-called low scatterer suppression) is performed. Based on the presented results, the resource allocation strategy for the second global coverage of TanDEM-X has been consequently adapted to further improve the final DEM performance.","2153-7003","978-1-4799-1114-1","10.1109/IGARSS.2013.6723832","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6723832","Synthetic aperture radar (SAR);SAR interferometry (InSAR);TanDEM-X mission;block adaptive quantization (BAQ)","Quantization (signal);Synthetic aperture radar;Coherence;Backscatter;Noise;Degradation","","3","","9","IEEE","27 Jan 2014","21-26 July 2013","21-26 July 2013","IEEE","IEEE Conferences"
"METAL: A Memory-Efficient Transformer Architecture for Long-Context Inference on FPGA","Z. He; S. Lu; T. Zhao; J. Yan; C. Wu; L. He","University of California, Los Angeles; Chiplet CAD and Manufacturing Engineering Research Center of Zhejiang Province, Ningbo Institute of Digital Twin, Eastern Institute of Technology, Ningbo, China; University of California, Los Angeles; Chiplet CAD and Manufacturing Engineering Research Center of Zhejiang Province, Ningbo Institute of Digital Twin, Eastern Institute of Technology, Ningbo, China; Chiplet CAD and Manufacturing Engineering Research Center of Zhejiang Province, Ningbo Institute of Digital Twin, Eastern Institute of Technology, Ningbo, China; University of California, Los Angeles","2025 IEEE 36th International Conference on Application-specific Systems, Architectures and Processors (ASAP)","20 Aug 2025","2025","","","93","100","Transformer-based models have shown remarkable proficiency in extensive tasks for natural language processing, which are facing the ever-increasing need of processing long-context inputs. However, the memory footprint of the self-attention mechanism grows quadratically with the context length and becomes the bandwidth and memory bottleneck. Existing accelerators are mainly tailored for short sequences and struggle to handle attention in long-context scenarios. While some works attempt to mitigate this memory overhead with algorithmic optimizations, they suffer from limited hardware efficiency due to the sequential execution of backward-dependent iterations and additional computations. To this end, this paper proposes METAL, an algorithm-architecture co-optimized approach to support long-context inference with minimized memory overhead. First, we propose a hardware-friendly attention algorithm that eliminates the data dependency across inner loops, enabling full pipelining while keeping nonincreasing on-chip memory requirements, regardless of context length. Second, we develop a unified PE array for different dataflows across the transformer block to consistently support the entire inference with efficient data reuse. Moreover, an advanced non-linear operation module is designed to properly match the throughput of PE arrays with maximized resource sharing. Experimental results show that METAL on the Xilinx U200 FPGA outperforms other FPGA accelerators by $1.23-2.89 \times$ in normalized throughput and achieves up to $\mathbf{5 1. 0 \%}$ BRAM savings across different input sequence lengths.","2160-052X","979-8-3315-9552-4","10.1109/ASAP65064.2025.00023","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11113558","fpga;transformer-based models;flashattention","Memory management;Metals;Systems architecture;Transformers;Throughput;Inference algorithms;Hardware;System-on-chip;Arrays;Field programmable gate arrays","","","","21","IEEE","20 Aug 2025","28-30 July 2025","28-30 July 2025","IEEE","IEEE Conferences"
"Characterization of Microservice Response Time in Kubernetes: A Mixture Density Network Approach","L. Manca; D. Borsatti; F. Poltronieri; M. Zaccarini; D. Scotece; G. Davoli; L. Foschini; G. Y. Grabarnik; L. Shwartz; C. Stefanelli; M. Tortonesi; W. Cerroni","University of Bologna, Bologna, Italy; University of Bologna, Bologna, Italy; Distributed Systems Research Group, University of Ferrara, Ferrara, Italy; Distributed Systems Research Group, University of Ferrara, Ferrara, Italy; University of Bologna, Bologna, Italy; University of Bologna, Bologna, Italy; University of Bologna, Bologna, Italy; Department of Mathematics and Computer Science, St. John's University, Queens, NY, USA; Operational Innovation, IBM TJ Watson Research Center, NY, USA; Distributed Systems Research Group, University of Ferrara, Ferrara, Italy; Distributed Systems Research Group, University of Ferrara, Ferrara, Italy; University of Bologna, Bologna, Italy",2023 19th International Conference on Network and Service Management (CNSM),"28 Nov 2023","2023","","","1","9","The use of microservice-based applications is becoming more prominent also in the telecommunication field. The current 5G core network, for instance, is already built around the concept of a “Service Based Architecture”, and it is foreseeable that 6G will push even further this concept to enable more flexible and pervasive deployments. However, the increasing complexity of future networks calls for sophisticated platforms that could help network providers with their deployments design. In this framework, a central research trend is the development of digital twins of the physical infrastructures. These digital representations should closely mimic the behavior of the managed system, allowing the operators to test new configurations, analyze what-if scenarios, or train their reinforcement learning algorithms in safe environments. Considering that Kubernetes is becoming the de-facto standard platform for container orchestration and microservice-based application lifecycle management, the implementation of a Kubernetes digital twin requires an accurate characterization of the microservice response time, possibly leveraging suitable Machine Learning techniques trained with measurement data collected in the field. In this paper we introduce a new methodology, based on Mixture Density Networks, to accurately estimate the statistical distribution of the response time of microservice-based applications. We show the improvement in performance with respect to simulation-based inference procedures proposed in literature.","2165-963X","978-3-903176-59-1","10.23919/CNSM59352.2023.10327842","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10327842","Service Management and Orchestration;Kubernetes;Simulation;Optimization;Digital twins","Runtime;Microservice architectures;Statistical distributions;Training data;Time measurement;Digital twins;Behavioral sciences","","6","","23","","28 Nov 2023","30 Oct.-2 Nov. 2023","30 Oct.-2 Nov. 2023","IEEE","IEEE Conferences"
"Sustainable Intelligent Transportation Systems via Digital Twins: A Contextualized Survey","V. M. G. Martinez; D. R. Campelo; M. R. N. Ribeiro","Department of Electrical Engineering, Universidade Federal do Espírito Santo, Vitoria, Brazil; Centro de Informática, Universidade Federal de Pernambuco, Recife, Brazil; Department of Electrical Engineering, Universidade Federal do Espírito Santo, Vitoria, Brazil",IEEE Open Journal of Intelligent Transportation Systems,"7 Apr 2025","2025","6","","363","392","Intelligent transportation systems (ITS) have been attracting the attention of industry and academia alike for addressing issues raised by the 2030 agenda for sustainable development goals (SDG) approved by the United Nations. However, the diversity and dynamics of present-day transportation scenarios are already very complex, turning the management of ITS into a virtually impossible task for conventional traffic control centers. Recently, the digital twin (DT) paradigm has been presented as a modern architectural concept to tackle complex problems, such as the ones faced by ITS. This survey aims to provide a piece-wise approach to introducing DTs into sustainable ITS by addressing the following cornerstone aspects: i) Why should one consider DTs in ITS applications? ii) What can DTs represent from ITS’ new physical environments? And iii) How can one use DTs to address ITS SDG related to efficiency, safety, and ecology? Our methodological approach for surveying the literature addresses these questions by categorizing contributions and discriminating their ITS elements and agents against the SDG they addressed. Thus, this survey provides an in-depth and contextualized overview of the challenges when approaching ITS through DTs, including scenarios involving autonomous and connected vehicles, ITS infrastructure, and traffic agents’ behavior. Moreover, we propose a functional reference framework for developing DTs of ITS. Finally, we also offer research challenges regarding standardization, connectivity infrastructure, security and privacy aspects, and business management for properly developing DTs for sustainable ITS.","2687-7813","","10.1109/OJITS.2025.3553696","Conselho Nacional de Desenvolvimento Científico e Tecnológico - Brazil (CNPq)(grant numbers:159528/2019-4); Fundação de Amparo à Pesquisa e Inovação do Espírito Santo (FAPES)(grant numbers:515/2021,284/2021,026/2022); Fundação de Amparo à Pesquisa do Estado de São Paulo (FAPESP)(grant numbers:20/05182-3,18/23097-3); Coordenação de Aperfeiçoamento de Pessoal de Nível Superior (CAPES), Brazil –Finance Code 001; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10937233","Digital twins;intelligent transportation systems;connected vehicles;sustainability","Surveys;Transportation;Safety;Digital twins;Sustainable development;Smart cities;Ecology;Biological system modeling;Sensors;Security","","6","","176","CCBY","24 Mar 2025","2025","","IEEE","IEEE Journals"
"Dynamic Service Provisioning and Control Relying on Time-Varying Telemetry-Driven QoT Digital-Twin","R. Ambrosone; R. Casellas; R. Schips; A. Giorgetti; S. Straullu; F. Aquilino; A. Nespola; R. Morro; V. Curri","Politecnico di Torino, Turin, Italy; Centre Tecnologic de Telecomunicacions de Catalunya (CTTC/CERCA), Barcelona, Spain; Politecnico di Torino, Turin, Italy; University of Pisa, Pisa, Italy; LINKS Foundation, Turin, Italy; LINKS Foundation, Turin, Italy; LINKS Foundation, Turin, Italy; TIM, Italy; Politecnico di Torino, Turin, Italy",2025 International Conference on Optical Network Design and Modeling (ONDM),"16 Jun 2025","2025","","","1","6","This paper presents an orchestration and control architecture for multi-domain optical networks. The proposed solution improves performance predictability by leveraging a modular, closed-loop SDN control plane that enables dynamic service provisioning, optimal path selection, and amplifier control. A key innovation is the integration of a time-varying QoT Digital Twin, which exploits live telemetry to enhance real-time decision-making and network adaptability.","2995-0686","978-3-903176-67-6","10.23919/ONDM65745.2025.11029362","EU; TIP; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11029362","","Technological innovation;Optical fiber networks;Routing;Throughput;Real-time systems;Quality of transmission;Telemetry;Synchronization;Standards;Resilience","","","","15","","16 Jun 2025","6-9 May 2025","6-9 May 2025","IEEE","IEEE Conferences"
"Age-of-Information-Aware Digital Twin Assisted Resource Management for Distributed Energy Scheduling","Y. Shu; Z. Wang; H. Liao; Z. Zhou; N. Nasser; M. Imran","Hebei Key Laboratory of Power Internet of Things Technology, North China Electric Power University, Baoding, Hebei, China; Hebei Key Laboratory of Power Internet of Things Technology, North China Electric Power University, Baoding, Hebei, China; Hebei Key Laboratory of Power Internet of Things Technology, North China Electric Power University, Baoding, Hebei, China; Hebei Key Laboratory of Power Internet of Things Technology, North China Electric Power University, Baoding, Hebei, China; College of Engineering, Alfaisal University, Riyadh, Saudi Arabia; College of Applied Computer Science, King Saud University, Riyadh, Saudi Arabia",GLOBECOM 2022 - 2022 IEEE Global Communications Conference,"11 Jan 2023","2022","","","5705","5710","Digital twin (DT) provides a real-time digital representation of electric device state for energy dispatching and control (EDC) model training in power system. However, the large age of information (AoI) deteriorates the consistency of DT and the precision of EDC model. In this paper, we investigate the global loss function minimization problem underthe long-term AoI constraint through coordinated resource management. The optimization problem is decoupled based on telescoping sum and Lyapunov optimization, and solved by the proposed AoI-aware DT-assisted intelligent resource management algorithm named AoI-DT. AoI-DT achievesa balanced tradeoff between AoI guarantee and EDC model precision through device scheduling and channel allocation. Simulation results verify the superior performance of AoI-DT in terms of global loss function and AoI compared withtwo state-of-the-art algorithms.","2576-6813","978-1-6654-3540-6","10.1109/GLOBECOM48099.2022.10000964","Science and Technology Project of State Grid Corporation of China(grant numbers:52094021N010,5400-202199534A-0-5-ZN); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10000964","","Training;Performance evaluation;Simulation;Channel allocation;Minimization;Real-time systems;Digital twins","","11","","23","IEEE","11 Jan 2023","4-8 Dec. 2022","4-8 Dec. 2022","IEEE","IEEE Conferences"
"Computation Offloading Optimization for Digital Twin Assisted 5G-Enabled Edge Computing Network in Urban Rail Transit","Q. Zhang; M. Liu; J. Zhao; C. Zhang; M. Zhang","School of Information and Software Engineering, East China Jiaotong University, Nanchang, China; School of Information and Software Engineering, East China Jiaotong University, Nanchang, China; School of Information and Software Engineering, East China Jiaotong University, Nanchang, China; School of Information and Software Engineering, East China Jiaotong University, Nanchang, China; National Engineering Research Center of System Technology for High-Speed Railway and Urban Rail Transit, Beijing, China",IEEE Transactions on Intelligent Transportation Systems,"4 Dec 2025","2025","26","12","21574","21587","As urban rail transit evolves, the convergence of digitalization, networking and intelligence has emerged as a pivotal trend, accompanied by the surge of intensive computing tasks and real-time demand. Edge computing is a promising solution to address the local resource constraints of various application devices covered by various subsystems within Urban Rail Transit Systems (URTS). In this paper, a Digital Twin (DT) assisted 5G-enabled edge computing network in URTS is established. We consider the heterogeneous service requirements of Ultra-Reliable Low-Latency Communication (URLLC) and Enhanced Mobile Broadband (eMBB) in different intelligent applications, and accordingly, we develop a task execution queue model. Additionally, to improve the task processing performance of the system, a task offloading and resource allocation scheme based on the Multi-Agent Twin Delayed Deep Deterministic policy gradient (MATD3) algorithm is proposed. User Equipment (UEs) and Edge Servers (ESs) are treated as distinct agents, accounting for their collaborative computation capabilities and differences in decision-making. A framework is established for centralized training in a DT assisted system with decentralized execution by each agent. Simulation results demonstrate that the proposed approach ensures the stringent latency requirement for URLLC tasks, enhances the Transaction Per Time Slot (TPTS) for eMBB tasks, and significantly reduces processing delays across all tasks. In addition, the proposed scheme also achieves load balance between UEs and ESs.","1558-0016","","10.1109/TITS.2025.3621533","National Natural Science Foundation of China(grant numbers:62261024,U2001213); National Engineering Research Center of System Technology for High-Speed Railway and Urban Rail Transit(grant numbers:2024YJ255); Beijing Natural Science Foundation(grant numbers:L201011); National Key Research and Development Project(grant numbers:2020YFB1807204); Key Laboratory of Universal Wireless Communications(BUPT), Ministry of Education, P.; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11224011","Urban rail transit;edge computing;5G;digital twin","Ultra reliable low latency communication;Edge computing;Delays;Rails;Resource management;Optimization;5G mobile communication;Reliability;Heuristic algorithms;Data communication","","","","41","IEEE","3 Nov 2025","Dec. 2025","","IEEE","IEEE Journals"
"ELITE: An Intelligent Digital Twin-Based Hierarchical Routing Scheme for Softwarized Vehicular Networks","L. Zhao; Z. Bi; A. Hawbani; K. Yu; Y. Zhang; M. Guizani","School of Computer Science, Shenyang Aerospace University, Shenyang, China; School of Computer Science, Shenyang Aerospace University, Shenyang, China; University of Science and Technology of China, Hefei, Anhui, China; Graduate School of Science and Engineering, Hosei University, Chiyoda, Tokyo, Japan; University of Oslo, Oslo, Norway; Machine Learning Department, Mohamed Bin Zayed University of Artificial Intelligence (MBZUAI), Abu Dhabi, UAE",IEEE Transactions on Mobile Computing,"4 Aug 2023","2023","22","9","5231","5247","Software-Defined Vehicular Network (SDVN) is a networking architecture that can provide centralized control for vehicular networks. However, the design for routing policies in SDVNs is generally influenced by several limitations, such as frequent topological changes, complex service requests, and long model training time. Intelligent Digital Twin-based Software-Defined Vehicular Networks (IDT-SDVN) can overcome these weaknesses and maximize the advantages of the conventional SDVN architecture by enabling the controller to construct virtual network spaces and provide virtual instances of corresponding physical objects within the Digital Twin (DT). In this paper, we propose a junction-based hierarchical routing scheme in IDT-SDVN, namely, intelligent digital twin hierarchical (ELITE) routing. The proposed scheme is conducted in four phases: policy training and generation in the virtual network, and deployment and relay selection in physical networks. First, the policy learning phase employs several parallel agents in DT networks and derives multiple single-target policies. Second, the generation phase combines the learned policies and generates new policies based on complex communication requirements. Third, the deployment phase selects the most suitable generated policy according to the real-time network status and message types. A road path is calculated by the controller based on the selected policy and then sent to the requester vehicle. Finally, the relay selection phase is utilized to determine relay vehicles in a hop-by-hop process along the selected path. Simulation results demonstrate that ELITE achieves substantial improvements in terms of packet delivery ratio, end-to-end delay, and communication overhead compared with its counterparts.","1558-0660","","10.1109/TMC.2022.3179254","Department of Science and Technology of Liaoning Province; Science Foundation of Liaoning Province(grant numbers:2020-MS-237); Liaoning Provincial Department of Education Science Foundation(grant numbers:JYT19052); Fujian Normal University(grant numbers:202001); National Natural Science Foundation of China(grant numbers:61872086); Science Foundation of Liaoning Province; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9785887","Fuzzy logic;hierarchical routing;intelligent digital twin networks;reinforcement learning;software-defined vehicular networks","Routing;Relays;Roads;Measurement;Fuzzy logic;Vehicle dynamics;Training","","94","","41","IEEE","31 May 2022","1 Sept. 2023","","IEEE","IEEE Journals"
"Toward Industrial Densely Packed Object Detection: A Federated Semi-Supervised Learning Approach","C. Zhao; Z. Gao; S. Bao; K. Xiao","School of Cyber Science and Engineering, Ningbo University of Technology, Ningbo, China; State Key Laboratory of Networking and Switching Technology, Beijing University of Posts and Communications, Beijing, China; School of Cyber Science and Engineering, Ningbo University of Technology, Ningbo, China; College of Applied Science and Technology, Beijing Union University, Beijing, China",IEEE Internet of Things Journal,"7 Nov 2024","2024","11","22","37340","37350","Object detection through deep learning techniques plays a pivotal role in various industrial applications, such as defect detection. With industries increasingly recognizing the importance of protecting sensitive data, there is a growing interest in collaborative detector training using federated learning (FL). However, existing FL solutions face challenges in effectively addressing object detection tasks with limited labeled data across practical institutions. This challenge is especially pronounced in scenarios with densely packed objects, where obtaining sufficient labels is time consuming and costly. In this article, we present an innovative federated semi-supervised learning (SSL) framework expressly designed for object detection in densely packed scenes (FSSLOD) to overcome above challenges. To achieve this, our approach leverages a teacher-student network on the client side for local SSL and employs a designed consistency loss to align the output of the teacher network with that of the student network. Furthermore, we present an elastic update mechanism to mitigate the intricate issue of data distribution disparity by preventing the inclusion of inadequately trained knowledge into the shared model. Comprehensive evaluations on two real-world object detection data sets demonstrate that the proposed method significantly enhances object detection performance in densely packed scenes while also ensuring data privacy.","2327-4662","","10.1109/JIOT.2024.3443112","Research Funds of Ningbo University of Technology(grant numbers:2180011540010); Open Research Funds of National Mobile Communications Research Laboratory, Southeast University(grant numbers:2023D15); Ningbo Clinical Research Center for Medical Imaging(grant numbers:2022LYKFYB01); Research and Development Program of Beijing Municipal Education Commission(grant numbers:KM202311417003); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10634893","Federated learning (FL);Industrial Internet of Things (IIoT);industrial object detection;semi-supervised learning (SSL)","Object detection;Data models;Federated learning;Training;Data privacy;Task analysis;Industrial Internet of Things","","2","","39","IEEE","13 Aug 2024","15 Nov.15, 2024","","IEEE","IEEE Journals"
